Vertices,Avg.Time Taken
3,0.0200
4,0.0000
5,0.0000
6,0.1000
7,0.0000
8,0.0000
9,0.2000
10,0.4400
11,1.0200
12,3.2800
13,9.7200
14,27.0600
15,84.4000
