Vertices,Avg.Time Taken
3,0.0000
4,0.0000
5,0.0000
6,0.0600
7,0.0000
8,0.1200
9,0.0200
10,0.1200
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,0.1200
19,0.0000
20,0.0000
21,0.0000
22,0.0000
23,0.0000
24,0.0200
25,0.0200
26,0.0200
27,0.0400
28,0.0000
29,0.0200
30,0.0200
31,0.0000
32,0.0400
33,0.0400
34,0.1000
35,0.1800
36,0.0800
37,0.0000
38,0.1400
39,0.1400
40,0.1200
41,0.0200
42,0.0800
43,0.1800
44,0.0000
45,0.3000
46,0.2200
47,0.2000
48,0.0400
49,0.0600
50,0.4200
